Episode,Successes,Collisions,Timeouts,Throughput,Steps,Goal_X,Goal_Y,Num_Obstacles,Mode,Fold
94,0,10,0,0.0,38,17.0,17.0,77,random,2
95,0,10,0,0.0,51,17.0,17.0,91,random,2
96,0,10,0,0.0,49,17.0,17.0,89,random,2
97,0,10,0,0.0,42,17.0,17.0,80,random,2
98,0,10,0,0.0,54,17.0,17.0,74,random,2
99,0,10,0,0.0,62,17.0,17.0,55,random,2
100,0,10,0,0.0,51,17.0,17.0,78,random,2
1,0,10,0,0.0,47,17.0,17.0,66,clustered,2
2,0,10,0,0.0,46,17.0,17.0,51,clustered,2
3,5,5,0,8.771929824561402,57,17.0,17.0,50,clustered,2
4,0,10,0,0.0,50,17.0,17.0,40,clustered,2
5,3,6,1,0.375,800,17.0,17.0,46,clustered,2
6,0,10,0,0.0,36,17.0,17.0,62,clustered,2
7,0,10,0,0.0,34,17.0,17.0,41,clustered,2
8,0,10,0,0.0,68,17.0,17.0,57,clustered,2
9,0,10,0,0.0,42,17.0,17.0,55,clustered,2
10,0,10,0,0.0,31,17.0,17.0,34,clustered,2
11,0,10,0,0.0,23,17.0,17.0,60,clustered,2
12,0,9,1,0.0,800,17.0,17.0,34,clustered,2
13,0,10,0,0.0,39,17.0,17.0,54,clustered,2
14,0,10,0,0.0,26,17.0,17.0,48,clustered,2
15,0,10,0,0.0,82,17.0,17.0,46,clustered,2
16,1,9,0,1.4705882352941175,68,17.0,17.0,58,clustered,2
17,0,9,1,0.0,800,17.0,17.0,53,clustered,2
18,3,6,1,0.375,800,17.0,17.0,48,clustered,2
19,0,10,0,0.0,45,17.0,17.0,42,clustered,2
20,1,9,0,1.8518518518518516,54,17.0,17.0,49,clustered,2
21,0,10,0,0.0,52,17.0,17.0,55,clustered,2
22,0,10,0,0.0,39,17.0,17.0,63,clustered,2
23,0,10,0,0.0,35,17.0,17.0,46,clustered,2
24,0,10,0,0.0,47,17.0,17.0,50,clustered,2
25,2,8,0,3.076923076923077,65,17.0,17.0,42,clustered,2
26,0,10,0,0.0,40,17.0,17.0,53,clustered,2
27,0,10,0,0.0,33,17.0,17.0,67,clustered,2
28,0,10,0,0.0,37,17.0,17.0,50,clustered,2
29,0,10,0,0.0,26,17.0,17.0,54,clustered,2
30,2,8,0,2.272727272727273,88,17.0,17.0,34,clustered,2
31,5,4,1,0.625,800,17.0,17.0,48,clustered,2
32,0,10,0,0.0,47,17.0,17.0,38,clustered,2
33,0,10,0,0.0,26,17.0,17.0,35,clustered,2
34,0,10,0,0.0,63,17.0,17.0,65,clustered,2
35,1,8,1,0.125,800,17.0,17.0,38,clustered,2
36,0,10,0,0.0,40,17.0,17.0,33,clustered,2
